station_id,name,lat,lon,num_bikes_available,num_docks_available,num_vehicles_available,collection_timestamp,timestamp,temperature_2m,precipitation,windspeed_10m,humidity,time_delta_minutes
2088,169 - Vesuvio - Lipari,45.4593385983571,9.159582182765009,19,15,19,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2122,211 - Bernini,45.4788240556337,9.221670627593994,8,10,8,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2029,109 - Tunisia Lecco Bellintani,45.4774342070483,9.20493096113204,5,26,5,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2126,215 - Politecnico,45.4786717193695,9.22636985778808,7,26,7,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2083,164 - Bergognone - Tortona,45.4524016624621,9.16502773761749,9,19,9,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2054,135 - Muratori - Umbria,45.4508098285709,9.21250283718109,12,15,12,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2035,115 - Caiazzo,45.485198300838,9.2091641575098,9,26,9,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2123,212 - Verrocchio - Juvara,45.4733133583997,9.21965897083282,9,27,9,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2124,213 - Novelli - Carnaghi,45.4707966901203,9.22038316726684,5,30,5,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2077,158 - Naviglio G.Valenza,45.4498182024788,9.16759729385375,22,10,22,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2031,111 - B.Marcello - Boscovich,45.480199765093,9.20751929283142,23,9,23,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2068,149 - Bonomelli,45.4406659126486,9.213240498356754,30,6,30,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2120,208 - Brianza - Venini,45.48787561662952,9.2124841153327,8,26,8,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2117,205 - Teodosio - Pacini,45.4828352409673,9.23010896454798,14,14,14,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2160,227 - Zavattari - Tempesta,45.4760557498563,9.143733733944828,18,9,18,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2161,248 - Teodorico - Gattamelata,45.4844913771267,9.151471906952793,11,10,11,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
